Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-07-14 07:24:11,false,"Phoenix Running","3.47","432","00:40:38","144","186","3.7","147","177","11:42","6:37","43","46","0.94","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","06:21.29.6","4","0.0","--","--","--","--","--","--","--","00:40:32","00:40:38","1,401","1,437"
Running,2021-07-12 08:03:18,false,"Phoenix Running","3.23","435","00:40:16","148","169","3.6","147","158","12:29","11:16","41","26","0.88","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","02:50.46.8","4","0.0","--","--","--","--","--","--","--","00:40:16","00:40:16","1,399","1,434"
Running,2021-07-07 07:51:44,false,"Phoenix Running","1.12","142","00:14:03","140","182","2.7","128","172","12:36","6:10","16","--","1.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:16.47.2","2","0.0","--","--","--","--","--","--","--","00:14:02","00:14:03","1,393","1,434"
Running,2021-07-07 07:38:35,false,"Phoenix Running","0.95","141","00:12:08","157","167","3.0","133","165","12:50","7:23","--","13","0.94","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","12:07.77.8","1","0.0","--","--","--","--","--","--","--","00:12:08","00:12:08","1,401","1,419"
Running,2021-07-01 06:19:45,false,"Phoenix Running","2.71","338","00:31:34","141","160","3.5","154","239","11:40","10:14","19","14","0.90","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","07:47.50.1","3","0.0","--","--","--","--","--","--","--","00:31:21","00:31:34","1,411","1,432"
Running,2021-06-29 07:32:46,false,"Phoenix Running","2.73","377","00:31:39","154","184","4.0","148","171","11:36","6:38","30","30","0.94","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","08:48.65.6","3","0.0","--","--","--","--","--","--","--","00:31:39","00:31:39","1,401","1,437"
Running,2021-06-23 06:23:20,false,"Phoenix Running","2.80","352","00:32:43","141","170","3.5","152","185","11:41","5:06","27","33","0.91","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","09:07.36.9","3","0.0","--","--","--","--","--","--","--","00:32:31","00:32:43","1,411","1,432"
Running,2021-06-15 07:02:43,false,"Phoenix Running","2.73","364","00:32:33","148","173","3.5","151","161","11:54","9:08","38","35","0.89","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","08:34.94.5","3","0.0","--","--","--","--","--","--","--","00:32:32","00:32:33","1,401","1,434"
Running,2021-06-12 06:39:14,false,"Phoenix Running","1.43","181","00:15:56","145","160","3.0","153","169","11:10","9:02","10","13","0.94","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:45.67.7","2","0.0","--","--","--","--","--","--","--","00:15:56","00:15:56","1,412","1,432"
Running,2021-06-07 06:01:39,false,"Phoenix Running","1.40","184","00:15:46","145","166","3.1","153","171","11:15","6:41","13","13","0.94","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:34.24.2","2","0.0","--","--","--","--","--","--","--","00:15:37","00:15:46","1,412","1,432"
Strength Training,2021-06-03 08:33:18,false,"Strength","0.00","119","00:15:13","116","156","2.0","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","15:12.62.5","1","0.0","--","--","--","--","--","--","--","00:00:00","00:15:13","1,458","1,458"
Running,2021-06-02 06:55:11,false,"Phoenix Running","1.36","192","00:15:24","0","0","--","153","161","11:20","10:12","12","14","0.93","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:03.47.2","2","0.0","--","--","--","--","--","--","--","00:15:24","00:15:24","1,412","1,432"
Running,2021-05-28 07:00:57,false,"Phoenix Running","1.37","165","00:15:27","135","157","2.8","154","161","11:15","9:27","11","13","0.93","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:11.43.4","2","0.0","--","--","--","--","--","--","--","00:15:26","00:15:27","1,412","1,433"
Running,2021-05-24 06:34:28,false,"Phoenix Running","1.38","168","00:15:55","139","162","2.6","153","164","11:34","9:41","10","13","0.91","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:14.52.6","2","0.0","--","--","--","--","--","--","--","00:15:55","00:15:55","1,412","1,432"
Running,2021-05-20 07:10:48,false,"Phoenix Running","2.74","365","00:33:32","143","165","3.2","153","167","12:15","10:51","29","16","0.86","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","09:33.18.2","3","0.0","--","--","--","--","--","--","--","00:33:31","00:33:32","1,411","1,434"
Strength Training,2021-05-19 07:57:59,false,"Strength","0.00","364","01:18:49","100","154","1.7","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:18:49.14.7","1","0.0","--","--","--","--","--","--","--","00:00:00","01:18:49","--","--"
Running,2021-05-18 07:03:30,false,"Phoenix Running","1.29","171","00:16:48","130","146","2.5","153","167","13:00","10:58","10","13","0.81","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:39.07.6","2","0.0","--","--","--","--","--","--","--","00:15:20","00:16:48","1,412","1,432"
Strength Training,2021-05-17 07:29:12,false,"Strength","0.00","333","01:03:43","106","143","1.9","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:03:43.28.1","1","0.0","--","--","--","--","--","--","--","00:00:00","01:08:46","--","--"
Running,2021-05-16 07:45:40,false,"Phoenix Running","3.40","434","00:40:22","140","166","3.4","153","171","11:51","9:13","30","36","0.89","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:47.18.6","4","0.0","--","--","--","--","--","--","--","00:40:21","00:40:22","1,375","1,419"
Running,2021-05-13 19:06:11,false,"Phoenix Running","2.48","315","00:31:25","134","148","2.9","150","156","12:40","11:11","20","22","0.85","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","06:19.30.7","3","0.0","--","--","--","--","--","--","--","00:31:25","00:31:25","1,403","1,433"
Strength Training,2021-05-13 10:20:14,false,"Strength","0.00","298","01:26:13","87","130","1.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:26:13.29.3","1","0.0","--","--","--","--","--","--","--","00:00:00","02:27:01","--","--"
Running,2021-05-11 07:38:22,false,"Phoenix Running","2.61","336","00:32:32","135","157","2.9","151","165","12:28","9:02","26","23","0.85","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","07:59.23.9","3","0.0","--","--","--","--","--","--","--","00:32:15","00:32:32","1,411","1,432"
Strength Training,2021-05-09 07:53:41,false,"Strength","0.00","553","02:13:38","95","163","1.5","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","02:13:37.61.2","1","0.0","--","--","--","--","--","--","--","00:00:00","02:13:38","--","--"
Running,2021-05-08 19:02:08,false,"Phoenix Running","2.42","303","00:30:20","131","143","2.6","152","161","12:31","11:11","10","13","0.85","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:31.50.2","3","0.0","--","--","--","--","--","--","--","00:30:20","00:30:21","1,411","1,432"
Running,2021-05-06 19:06:04,false,"Phoenix Running","2.68","348","00:32:34","139","158","2.8","151","161","12:10","10:27","31","35","0.88","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","08:27.23.6","3","0.0","--","--","--","--","--","--","--","00:32:33","00:32:34","1,401","1,435"
Strength Training,2021-05-05 07:15:34,false,"Strength","0.00","386","01:42:50","90","133","1.3","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:42:50.45.1","1","0.0","--","--","--","--","--","--","--","00:00:00","01:42:50","--","--"
Running,2021-05-04 18:58:12,false,"Phoenix Running","2.87","364","00:34:31","136","153","3.0","151","163","12:01","11:01","28","28","0.89","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","10:39.36.2","3","0.0","--","--","--","--","--","--","--","00:34:30","00:34:31","1,411","1,433"
Running,2021-04-29 18:54:43,false,"Phoenix Running","2.48","314","00:30:20","136","165","2.7","152","158","12:14","8:49","18","21","0.87","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","06:13.36.9","3","0.0","--","--","--","--","--","--","--","00:30:19","00:30:20","1,407","1,432"
Strength Training,2021-04-28 07:33:25,false,"Strength","0.00","278","01:09:45","91","137","1.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","54","4","0:00","0.0","0:00","No","01:09:45.49","1","0.0","--","--","--","--","--","--","--","00:00:00","01:09:45","--","--"
Running,2021-04-27 07:57:43,false,"Phoenix Running","2.53","309","00:30:35","131","143","2.7","153","163","12:06","11:01","15","18","0.87","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","06:23.20.9","3","0.0","--","--","--","--","--","--","--","00:30:34","00:30:35","1,411","1,433"
Strength Training,2021-04-26 08:06:04,false,"Strength","0.00","294","01:09:37","94","121","1.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:09:36.65.1","1","0.0","--","--","--","--","--","--","--","00:00:00","01:09:37","--","--"
Hiking,2021-04-25 07:34:53,false,"Two Bit hike","2.32","553","01:50:05","103","153","2.4","111","160","47:28","16:04","833","937","0.31","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","03:37.88.4","4","0.0","--","--","--","--","--","--","--","01:08:24","01:51:26","1,498","2,390"
Strength Training,2021-04-21 20:05:24,false,"Strength","0.00","347","01:12:18","101","143","1.4","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","8","1","0:00","0.0","0:00","No","01:12:18.48.3","1","0.0","--","--","--","--","--","--","--","00:00:00","01:12:18","--","--"
Running,2021-04-21 07:04:08,false,"Phoenix Running","1.95","244","00:24:35","130","143","2.6","153","163","12:36","11:01","26","26","0.83","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","12:12.88.3","2","0.0","--","--","--","--","--","--","--","00:24:06","00:24:35","1,412","1,433"
Running,2021-04-19 18:35:32,false,"Phoenix Running","1.81","225","00:23:13","127","142","2.5","149","244","12:50","11:14","10","16","0.84","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","10:38.92.2","2","0.0","--","--","--","--","--","--","--","00:23:12","00:23:13","1,407","1,432"
Running,2021-04-18 09:53:00,false,"Phoenix Running","2.45","325","00:30:05","141","154","3.1","145","250","12:18","10:01","28","28","0.90","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:40.64.3","3","0.0","--","--","--","--","--","--","--","00:29:57","00:30:05","1,407","1,432"
Strength Training,2021-04-17 20:14:51,false,"Strength","0.00","402","01:21:26","103","137","1.5","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:21:25.90.5","1","0.0","--","--","--","--","--","--","--","00:00:00","01:21:26","--","--"
Running,2021-04-16 08:28:29,false,"Phoenix Running","2.66","333","00:30:09","141","161","3.4","151","164","11:21","10:16","41","39","0.94","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","07:53.32.2","3","0.0","--","--","--","--","--","--","--","00:30:09","00:30:09","1,402","1,434"
Running,2021-04-14 18:58:32,false,"Phoenix Running","3.35","458","00:38:57","147","160","3.9","150","158","11:37","9:51","41","43","0.92","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:07.60.4","4","0.0","--","--","--","--","--","--","--","00:38:23","00:38:57","1,385","1,434"
Strength Training,2021-04-14 08:21:30,false,"Strength","0.00","387","00:56:55","118","152","2.1","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","56:54.51","1","0.0","--","--","--","--","--","--","--","00:00:00","00:56:55","--","--"
Running,2021-04-11 17:56:24,false,"Phoenix Running","2.33","278","00:22:36","152","174","3.7","155","180","9:41","7:08","28","13","1.07","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","03:09.86.3","3","0.0","--","--","--","--","--","--","--","00:22:35","00:22:36","1,411","1,434"
Strength Training,2021-04-09 07:16:58,false,"Strength","0.00","377","01:15:49","102","145","1.6","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:15:48.62.5","1","0.0","--","--","--","--","--","--","--","00:00:00","01:41:29","1,383","1,383"
Running,2021-04-08 08:12:36,false,"Phoenix Running","2.98","440","00:28:53","165","180","4.1","157","167","9:42","8:44","24","43","1.05","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","09:18.20.5","3","0.0","--","--","--","--","--","--","--","00:28:29","00:28:53","1,381","1,433"
Other,2021-04-07 18:04:31,false,"Phoenix Walk","2.58","280","00:55:46","97","133","1.2","106","125","2.8","4.1","32","28","0.70","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","12:59.13.3","3","0.0","--","--","--","--","--","--","--","00:50:28","00:55:46","1,409","1,434"
Walking,2021-03-21 07:52:02,false,"Walking","6.34","742","02:14:41","97","150","--","0","0","21:14","6:27","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","08:40.18.4","7","0.0","--","--","--","--","--","--","--","02:03:45","02:14:41","--","--"
Walking,2021-03-20 08:44:46,false,"Walking","2.50","299","00:58:53","94","123","--","0","0","23:35","6:27","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","17:15.26.7","3","0.0","--","--","--","--","--","--","--","00:47:20","00:58:53","--","--"
Running,2021-03-18 07:41:11,false,"Running","2.82","319","00:27:02","146","160","--","0","0","9:35","4:25","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","27:02.33.6","1","0.0","--","--","--","--","--","--","--","00:25:49","00:27:02","--","--"
Walking,2021-03-14 08:19:29,false,"Walking","7.44","1,486","03:44:16","106","164","--","0","0","30:08","5:22","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","12:50.58.3","8","0.0","--","--","--","--","--","--","--","02:22:48","03:44:16","--","--"
Walking,2021-03-07 08:53:12,false,"Walking","7.84","1,302","03:27:15","103","154","--","0","0","26:26","5:22","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","19:36.97.9","8","0.0","--","--","--","--","--","--","--","02:32:33","03:27:15","--","--"
Walking,2021-03-05 08:08:40,false,"Walking","2.98","363","01:00:28","101","128","--","0","0","20:17","7:09","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","19:29.00","3","0.0","--","--","--","--","--","--","--","00:56:43","01:00:28","--","--"
Running,2021-03-05 07:39:46,false,"Running","2.96","311","00:28:08","141","167","--","0","0","9:30","4:57","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","28:08.08.4","1","0.0","--","--","--","--","--","--","--","00:25:42","00:28:08","--","--"
Running,2021-03-02 08:22:32,false,"Running","3.13","360","00:27:44","156","177","--","0","0","8:51","5:22","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","27:44.01.6","1","0.0","--","--","--","--","--","--","--","00:00:00","00:27:44","--","--"
Walking,2021-02-25 07:26:34,false,"Walking","1.86","645","01:17:57","119","161","--","0","0","41:51","6:26","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","20:08.54","2","0.0","--","--","--","--","--","--","--","00:31:48","01:17:57","--","--"
Cardio,2021-02-21 08:23:54,false,"Cardio","0.00","942","02:31:33","103","154","--","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","02:31:32.75.9","1","0.0","--","--","--","--","--","--","--","00:00:00","02:31:33","--","--"
Running,2021-02-15 08:39:33,false,"Running","2.13","213","00:21:17","134","146","--","0","0","10:00","5:22","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","21:17.01.4","1","0.0","--","--","--","--","--","--","--","00:21:04","00:21:17","--","--"
Running,2021-02-08 07:51:14,false,"Running","3.46","356","00:30:41","147","158","--","0","0","8:52","1:14","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","30:41.02","1","0.0","--","--","--","--","--","--","--","00:30:02","00:30:41","--","--"
Running,2021-02-02 16:48:34,false,"Running","1.60","224","00:19:18","145","180","--","0","0","12:06","5:22","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","19:17.68.1","1","0.0","--","--","--","--","--","--","--","00:14:02","00:19:18","--","--"
Running,2021-01-25 08:38:47,false,"Running","2.77","280","00:23:57","146","174","--","0","0","8:39","1:21","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","23:56.79.1","1","0.0","--","--","--","--","--","--","--","00:23:57","00:23:57","--","--"
Cardio,2021-01-17 08:19:50,false,"Cardio","0.00","2,047","04:11:18","118","125","--","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:11:18.41.2","1","0.0","--","--","--","--","--","--","--","00:00:00","04:11:18","--","--"
Running,2021-01-14 08:33:17,false,"Running","2.03","221","00:23:32","128","154","--","0","0","11:35","1:19","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","23:32.00.4","1","0.0","--","--","--","--","--","--","--","00:20:06","00:23:32","--","--"
Running,2021-01-06 16:58:03,false,"Running","3.85","429","00:43:07","132","188","--","0","0","11:12","0:56","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","43:06.98.8","1","0.0","--","--","--","--","--","--","--","00:38:49","00:43:07","--","--"
Running,2021-01-02 09:02:20,false,"Running","4.04","499","00:42:44","146","179","--","0","0","10:35","1:07","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","42:43.80.8","1","0.0","--","--","--","--","--","--","--","00:41:09","00:42:44","--","--"
Walking,2020-12-31 08:00:09,false,"Walking","5.36","813","02:30:44","96","145","--","0","0","28:07","6:26","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","13:13.60.1","6","0.0","--","--","--","--","--","--","--","01:43:19","02:30:44","--","--"
Running,2020-12-27 09:28:08,false,"Running","2.84","342","00:29:00","147","182","--","0","0","10:12","1:44","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","28:59.51.2","1","0.0","--","--","--","--","--","--","--","00:26:35","00:29:00","--","--"
Cardio,2020-12-24 07:19:50,false,"Cardio","0.00","1,036","02:17:38","113","153","--","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","02:17:38.41.6","1","0.0","--","--","--","--","--","--","--","00:00:00","02:17:38","--","--"
Running,2020-09-08 08:00:37,false,"Running","4.29","479","00:41:31","145","174","--","0","0","9:40","5:22","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","41:30.56.9","1","0.0","--","--","--","--","--","--","--","00:39:18","00:41:31","--","--"
Running,2020-09-04 08:36:10,false,"Running","1.45","182","00:14:19","155","171","--","0","0","9:51","7:09","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","14:19.27.1","1","0.0","--","--","--","--","--","--","--","00:13:23","00:14:19","--","--"
Running,2020-09-01 08:13:46,false,"Running","3.34","424","00:31:23","160","173","--","0","0","9:24","3:04","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","31:22.71.2","1","0.0","--","--","--","--","--","--","--","00:30:25","00:31:23","--","--"
Running,2020-08-19 08:00:32,false,"Running","2.05","240","00:19:00","154","182","--","0","0","9:15","0:58","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","18:59.90.2","1","0.0","--","--","--","--","--","--","--","00:18:33","00:19:00","--","--"
Running,2020-08-13 08:37:25,false,"Running","4.74","588","00:48:51","149","181","--","0","0","10:18","3:52","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","48:51.20","1","0.0","--","--","--","--","--","--","--","00:48:34","00:48:51","--","--"
Running,2020-08-05 08:52:23,false,"Running","3.49","482","00:42:48","143","182","--","0","0","12:16","1:19","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","42:47.99","1","0.0","--","--","--","--","--","--","--","00:33:06","00:42:48","--","--"
Running,2020-07-31 08:51:55,false,"Running","3.17","383","00:31:46","149","176","--","0","0","10:01","1:04","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","31:46.43.1","1","0.0","--","--","--","--","--","--","--","00:29:35","00:31:46","--","--"
Running,2020-07-27 07:57:38,false,"Running","3.42","401","00:32:28","151","181","--","0","0","9:30","3:35","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","32:28.18.3","1","0.0","--","--","--","--","--","--","--","00:30:44","00:32:28","--","--"
Running,2020-07-20 08:44:02,false,"Running","2.84","347","00:28:44","151","166","--","0","0","10:07","5:22","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","28:43.69.7","1","0.0","--","--","--","--","--","--","--","00:26:57","00:28:44","--","--"
Running,2020-07-06 07:44:27,false,"Running","2.37","252","00:24:01","137","161","--","0","0","10:08","3:35","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","24:01.00.3","1","0.0","--","--","--","--","--","--","--","00:23:53","00:24:01","--","--"
Running,2020-07-01 07:54:59,false,"Running","2.09","246","00:25:24","130","175","--","0","0","12:10","3:47","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","25:24.04","1","0.0","--","--","--","--","--","--","--","00:22:28","00:25:24","--","--"
Running,2020-06-27 09:01:26,false,"Running","2.38","275","00:26:25","136","175","--","0","0","11:05","2:13","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","26:25.01.1","1","0.0","--","--","--","--","--","--","--","00:26:24","00:26:25","--","--"
Running,2020-06-24 08:44:36,false,"Running","2.30","293","00:26:09","142","181","--","0","0","11:22","1:42","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","26:08.62.9","1","0.0","--","--","--","--","--","--","--","00:25:35","00:26:09","--","--"
Running,2020-06-03 07:39:40,false,"Running","1.92","212","00:19:47","139","170","--","0","0","10:19","3:13","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--","00:19:33","00:19:47","--","--"
Cardio,2019-01-10 16:46:13,false,"Cardio","0.00","16,909","24:47:44","80","184","--","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--","00:00:00","24:47:44","--","--"
Cardio,2019-01-10 07:33:19,false,"Cardio","0.00","278","00:22:30","156","183","--","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--","00:00:00","00:22:30","--","--"
Cardio,2019-01-08 16:13:30,false,"Cardio","0.00","250","00:24:20","139","183","--","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--","00:00:00","00:24:20","--","--"
Cardio,2019-01-08 07:36:38,false,"Cardio","0.00","203","00:16:36","156","185","--","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--","00:00:00","00:16:36","--","--"
